22-07-20 01:35:18 [http-nio-8080-exec-1] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:35:31 [http-nio-8080-exec-2] INFO  c.m.s.controller.SudokuController - Http request: path: get /example; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:35:35 [http-nio-8080-exec-3] INFO  c.m.s.controller.SudokuController - Http request: path: get /example; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:35:37 [http-nio-8080-exec-4] INFO  c.m.s.controller.SudokuController - Http request: path: get /example; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:35:39 [http-nio-8080-exec-5] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:37:10 [http-nio-8080-exec-7] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:37:12 [http-nio-8080-exec-8] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:37:15 [http-nio-8080-exec-9] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:37:16 [http-nio-8080-exec-10] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:37:44 [http-nio-8080-exec-1] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:58:50 [http-nio-8080-exec-8] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:58:52 [http-nio-8080-exec-2] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:59:04 [http-nio-8080-exec-3] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 01:59:22 [http-nio-8080-exec-4] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:01:27 [http-nio-8080-exec-5] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:01:30 [http-nio-8080-exec-6] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:01:41 [http-nio-8080-exec-7] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:01:42 [http-nio-8080-exec-1] INFO  c.m.s.controller.SudokuController - Http request: path: get /example; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:01:43 [http-nio-8080-exec-8] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:02:10 [http-nio-8080-exec-2] INFO  c.m.s.controller.SudokuController - Http request: path: get /example; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:02:11 [http-nio-8080-exec-3] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:02:33 [http-nio-8080-exec-10] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:02:44 [http-nio-8080-exec-9] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:02:51 [http-nio-8080-exec-5] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:02:55 [http-nio-8080-exec-6] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:03:05 [http-nio-8080-exec-7] INFO  c.m.s.controller.SudokuController - Http request: path: get /example; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:03:12 [http-nio-8080-exec-1] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:03:14 [http-nio-8080-exec-8] INFO  c.m.s.controller.SudokuController - Http request: path: get /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:03:26 [http-nio-8080-exec-2] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:06:20 [http-nio-8080-exec-1] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:06:36 [http-nio-8080-exec-2] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:07:02 [http-nio-8080-exec-3] INFO  c.m.s.controller.SudokuController - Http request: path: post /solve; user name: null ; remote address: 127.0.0.1 ; remote host: 127.0.0.1 ; user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0 
22-07-20 02:08:43 [http-nio-8080-exec-3] ERROR c.m.s.controller.SudokuController - Computation error 
