v11,v21,v31,v41,v51,v61,v71,v81,v91,v12,v22,v32,v42,v52,v62,v72,v82,v92,v13,v23,v33,v43,v53,v63,v73,v83,v93,v14,v24,v34,v44,v54,v64,v74,v84,v94,v15,v25,v35,v45,v55,v65,v75,v85,v95,v16,v26,v36,v46,v56,v66,v76,v86,v96,v17,v27,v37,v47,v57,v67,v77,v87,v97,v18,v28,v38,v48,v58,v68,v78,v88,v98,v19,v29,v39,v49,v59,v69,v79,v89,v99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,0,0,1,0,2,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,4,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,3,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,9
0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,4,0,0,0,0,1,8,0,0,0,0,5,0,6,0,0,7,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,8,5,0,0,0,0,0,9,0,0,0,4,0,5,0,0,4,7,0,0,0,6,0,0,0
0,2,0,0,5,0,7,0,0,4,0,0,1,0,0,0,0,6,8,0,0,0,0,3,0,0,0,2,0,0,0,0,8,0,0,3,0,4,0,0,2,0,5,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,9,0,0,0,0,0,9,0,0,0,0,0,0,5,7,0,4,0,0,0,9,0,0
0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,6,0,0,0,9,0,0,4,0,0,7,0,0,0,0,0,0,9,0,5,0,7,0,0,0,0,0,0,0,8,0,5,0,4,0,2,0,0,0,0,8,0,0,2,0,0,9,0,0,0,3,5,0,0,1,0,0,6,0,0,0,0,0,0,0,0
1,2,0,3,0,0,0,0,4,3,5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,0,0,2,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,6,0,0,0,8
1,0,0,0,0,0,0,0,2,0,9,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,5,0,9,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,5,0,0,4,0,7,0,0,0,0,0,6,0,0,0,3,0,0,0,9,0,8,0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,3,9,0,0,0,0,0,1,0,0,5,0,0,3,0,5,0,8,0,0,0,0,8,0,9,0,0,0,6,0,7,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,9,0,8,0,0,5,0,0,2,0,0,0,0,6,0,0,4,0,0,7,0,0,0,0,0
1,2,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,4,2,0,0,5,0,0,0,0,0,0,8,0,0,0,9,0,6,0,0,0,5,0,7,0,0,0,1,5,0,0,2,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,7,0,0,8
0,0,3,0,0,6,0,8,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0,0,0,4,0,0,9,0,0,8,0,6,0,0,3,0,0,4,0,0,0,1,0,7,0,2,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,5,0,0,0,6,0,0,9,8,0,0,0,0,0,5,0
1,0,0,0,0,0,0,0,9,0,0,6,7,0,0,0,2,0,0,8,0,0,0,0,4,0,0,0,0,0,0,7,5,0,3,0,0,0,5,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,0,9,0,0,0,0,8,0,0,6,0,0,0,4,0,0,0,1,0,0,2,5,0,0,0,6,0
0,0,9,0,0,0,4,0,0,0,7,0,3,0,0,0,2,0,8,0,0,0,6,0,0,0,7,1,0,0,8,0,0,0,0,6,0,0,0,0,1,0,0,7,0,0,0,0,0,5,6,0,0,0,3,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,9,0,0,0,2,0,0,0,7,0,0
0,0,0,0,9,0,0,5,0,0,1,0,0,0,0,0,3,0,0,0,2,3,0,0,7,0,0,0,0,4,5,0,0,0,7,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,0,0,0,9,0,0,1,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,5,4,0,0,0,0,7
4,0,0,0,3,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,9,0,0,8,0,0,0,0,6,0,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,2,7,0,0,5,0,3,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0
7,0,8,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,6,3,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,9,0,0,9,0,6,0,0,0,0,4,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0
3,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,8,0,0,9,0,0,0,0,5,0,0,0,2,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,4,0,0,0,9,0,0,2,0,0,6,0,0,0,0,0,7,9,0,0,0,0,0,0,0,6,1,2,0,0,0,6,0,5,0,2,0,7,0,0,0,8,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,4,0,5,0,0,0,0,0,3
0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,7,0,0,8,0,0,0,3,0,0,0,0,1,0,9,0,0,0,0,3,0,0,4,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,8,0,6,0,0,0
0,0,0,0,0,0,0,1,2,0,0,0,0,3,5,0,0,0,0,0,0,6,0,0,0,7,0,7,0,0,0,0,0,3,0,0,0,0,0,4,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,8,0,0,0,0,0,4,0,0,5,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,2,0,9,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,8,0,4,0,0,0,2,0,0,0,6,0,0,0,3,0,0,0,9,0,8,0,7,0,0,0,0,0,0,0,1
